id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15,zipcode_price_group,total_sqft,bath_per_bed,living_ratio
7129300520,221900.0,3,1.0,1180,8.639587799629844,1.0,0,0,3,7,1180,0,1955,0,47.5112,-122.257,1340,8.639587799629844,310612.75572519086,1180,0.3333333333333333,0.2088495575221239
6414100192,538000.0,3,2.25,2570,8.887790764195326,2.0,0,0,3,7,2170,400,1951,1991,47.721,-122.319,1690,8.941152882160566,469455.77073170734,2970,0.75,0.3548743441038387
5631500400,180000.0,2,1.0,770,9.210440366976517,1.0,0,0,3,6,770,0,1933,0,47.7379,-122.233,2720,8.995040974685022,462480.035335689,770,0.5,0.077
2487200875,604000.0,4,3.0,1960,8.517393171418904,1.0,0,0,5,7,1050,910,1965,0,47.5208,-122.393,1360,8.517393171418904,551688.6730038023,2870,0.75,0.392
1954400510,510000.0,3,2.0,1680,8.997270906233448,1.0,0,0,3,8,1680,0,1987,0,47.6168,-122.045,1800,8.92319149068606,685605.775510204,1680,0.6666666666666666,0.2079207920792079
7237550310,1225000.0,4,4.5,5420,11.532051392768706,1.0,0,0,3,11,3890,1530,2001,0,47.6561,-122.005,4760,11.532051392768706,678163.0592592593,6950,1.125,0.05317374668890415
1321400060,257500.0,3,2.25,1715,8.827614750837508,2.0,0,0,3,7,1715,0,1995,0,47.3097,-122.327,2238,8.827614750837508,294111.27857142856,1715,0.75,0.2515031529549787
2008000270,291850.0,3,1.5,1060,9.181117513299279,1.0,0,0,3,7,1060,0,1963,0,47.4095,-122.315,1650,9.181117513299279,302878.8821428571,1060,0.5,0.10915456698589229
2414600126,229500.0,3,1.0,1780,8.918784137975802,1.0,0,0,3,7,1050,730,1960,0,47.5123,-122.337,1780,9.001346243766392,359483.2395833333,2510,0.3333333333333333,0.23828647925033467
3793500160,323000.0,3,2.5,1890,8.788898309344878,2.0,0,0,3,7,1890,0,2003,0,47.3684,-122.031,2390,8.932080438103307,366867.6,1890,0.8333333333333334,0.28810975609756095
1736800520,662500.0,3,2.5,3560,9.189831495344642,1.0,0,0,3,8,1860,1700,1965,0,47.6007,-122.145,2210,9.096723645189215,617105.085106383,5260,0.8333333333333334,0.3634136382196815
9212900260,468000.0,2,1.0,1160,8.699681400989514,1.0,0,0,4,7,860,300,1942,0,47.69,-122.292,1330,8.699681400989514,619900.5471698113,1460,0.5,0.19333333333333333
114101516,310000.0,3,1.0,1430,9.898575508175107,1.5,0,0,4,7,1430,0,1927,0,47.7558,-122.229,1780,9.449199779730396,462480.035335689,1430,0.3333333333333333,0.07185568564393749
6054650070,400000.0,3,1.75,1370,9.177920480720072,1.0,0,0,4,7,1370,0,1977,0,47.6127,-122.045,1370,9.231024963169016,685605.775510204,1370,0.5833333333333334,0.1415289256198347
1175000570,530000.0,5,2.0,1810,8.486940148245216,1.5,0,0,3,7,1810,0,1900,0,47.67,-122.394,1360,8.486940148245216,579053.4172932331,1810,0.4,0.3731958762886598
9297300055,650000.0,4,3.0,2950,8.517393171418904,2.0,0,3,3,9,1980,970,1979,0,47.5714,-122.375,2140,8.294299608857235,424706.3559322034,3920,0.75,0.59
1875500060,395000.0,3,2.0,1890,9.549736900114642,2.0,0,0,3,7,1890,0,1994,0,47.7277,-121.962,1890,9.548168831368535,424788.74736842106,1890,0.6666666666666666,0.1346153846153846
6865200140,485000.0,4,1.0,1600,8.366602832783736,1.5,0,0,4,7,1600,0,1916,0,47.6648,-122.343,1610,8.366602832783736,584919.2109634551,1600,0.25,0.37209302325581395
